"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G33380",1515.54625606251,6.60837737424147,0.237437076457495,27.8321207152518,1.77309236863234e-170,3.83378031945684e-166
"AT2G39800",2094.54469783789,5.00188873528674,0.186004164626358,26.8912728128128,2.77814037783496e-159,3.00344756247737e-155
"AT3G22830",629.555307862778,6.14693628150126,0.257864307441982,23.8378717181877,1.35290421139477e-125,9.75083161959261e-122
"AT1G62570",3742.44279048024,4.41903921773245,0.187074783776889,23.6217791009329,2.3025053596159e-123,1.24461927214037e-119
"AT2G41190",782.601164548795,4.75298968446603,0.213816187321423,22.2293257774773,1.78799620932212e-109,7.73201080759258e-106
"AT3G02480",636.502624163075,4.94706158938294,0.231499745682736,21.3696199742817,2.56209653400808e-101,9.23294187638713e-98
"AT3G05640",615.176445494511,4.583597516308,0.221365584640997,20.7060077732567,3.05772343573431e-95,9.44487087534962e-92
"AT5G46900",451.69354891517,-4.2437321241067,0.212276872945187,-19.991495376901,6.53089898507474e-89,1.76513872319108e-85
"AT2G42530",686.170950275359,5.43217618359306,0.2749772203785,19.755004345872,7.2649423314236e-87,1.74536203433379e-83
"AT2G47780",644.724290167318,4.41876261466535,0.224586105792276,19.6751379568972,3.52216995195382e-86,7.61563587011454e-83
"AT5G13170",590.992392882427,6.39099949523341,0.327717345737269,19.5015600436269,1.06484320528872e-84,2.09309452588661e-81
"AT2G46270",505.914454168221,4.13206912778998,0.212179413920244,19.4744110724294,1.8099372817278e-84,3.26120532545987e-81
"AT3G03341",1126.2253763814,9.27050309586346,0.479801301157058,19.3215463849458,3.53888675088467e-83,5.88598533289449e-80
"AT3G14440",366.577106833971,5.72954137716015,0.2978100428533,19.2389125707977,1.74837921002991e-82,2.70024680566191e-79
"AT1G73390",1626.62202037367,3.93864209989861,0.206509820817023,19.0724203058044,4.28028350449686e-81,6.16988599561541e-78
"AT5G53250",355.337829469369,-5.60124140096099,0.294557277889001,-19.0157969991552,1.26204277340277e-80,1.70549305290717e-77
"AT1G52690",510.447158382944,7.49712394704013,0.403661593925443,18.5727947861814,5.33522785378137e-77,6.78578215614475e-74
"AT1G69260",412.826101324375,3.86912159912458,0.209719864130745,18.4489991692559,5.31197483006295e-76,6.38086220975673e-73
"AT1G56600",529.006409337797,7.83000477811143,0.42750437356369,18.315613271603,6.21231065737339e-75,7.06960952809092e-72
"AT3G57010",555.244590128498,3.49375765627871,0.190869875032047,18.3043953672213,7.63346487831028e-75,8.25253887994124e-72
"AT5G15970",7767.37485039397,3.83706627435997,0.212097067624067,18.0910859227955,3.74631897942704e-73,3.85728137967483e-70
"AT4G05100",298.382936016196,4.65185378805246,0.258068839386833,18.0256314520776,1.22604272339619e-72,1.20497708023965e-69
"AT3G11410",317.81754705987,4.07046871668976,0.226268443711564,17.9895554586418,2.35237325794982e-72,2.21143541666917e-69
"AT5G17460",5566.95301580675,4.22396209676077,0.235294462703404,17.9518125850892,4.64493513630788e-72,4.18469947988537e-69
"AT1G72430",962.610500746625,-3.43818037768189,0.194225393723583,-17.7020126553329,4.04586208830972e-70,3.49918520293731e-67
"AT5G61820",1399.61735427753,3.5139041378708,0.19925237123347,17.6354445175132,1.31656718551962e-69,1.09487752635789e-66
"AT4G34000",559.681488262469,3.61819541911267,0.207805248576128,17.4114727318216,6.7524301242687e-68,5.40744607951621e-65
"AT5G03190",549.879385680283,3.06481661123352,0.176863594658745,17.3287024791451,2.85701662365854e-67,2.20622905131232e-64
"AT4G19690",537.535244966114,-4.02341908610804,0.232382489293857,-17.3137790989935,3.70293340720548e-67,2.76085607346886e-64
"AT1G72770",551.331603672225,3.95544866809091,0.231242450100712,17.105201343301,1.35731916374452e-65,9.78265165282801e-63
"AT5G52300",397.473516982587,7.31490591814512,0.4288982968944,17.0551060032447,3.2029134371891e-65,2.23398046254525e-62
"AT5G11110",779.146353397393,3.70718966306455,0.217601710042209,17.0365833170403,4.3967910229229e-65,2.97085673430121e-62
"AT1G03870",2595.34646095131,-4.4282045661489,0.261417159634655,-16.9392268370506,2.31142544019872e-64,1.51447396569627e-61
"AT1G20450",6335.72769806571,3.88018877301534,0.230239790477586,16.8528157750955,1.00036160133614e-63,6.36171133649708e-61
"AT4G21870",511.820861795268,-3.44295469216123,0.204385783922058,-16.845372638413,1.13452077984702e-63,7.00874522910065e-61
"AT5G02020",335.384351811291,4.13847638887107,0.245764434361256,16.8391996979832,1.25928077593758e-63,7.56338026036732e-61
"AT4G33550",227.305369304899,4.26426420320945,0.253731850774692,16.8061841278099,2.19877512104707e-63,1.28491663965621e-60
"AT1G78070",560.427476979538,3.60186903668598,0.216890985637497,16.6068175959419,6.22069771064005e-62,3.53957699735419e-59
"AT1G22530",1016.89861676748,-3.2605664170419,0.1964534359273,-16.5971462990778,7.30839110827696e-62,4.05184698828627e-59
"AT1G60190",277.360656773162,5.5126216799145,0.332860891126854,16.5613378647527,1.32612235673073e-61,7.16835439930793e-59
"AT2G30930",458.422281506336,-3.17529579455132,0.192952883643783,-16.4563272369297,7.55475438571332e-61,3.98411949580228e-58
"AT1G05340",749.95061982255,3.07834265488829,0.187439372475994,16.423137861724,1.30632862345095e-60,6.72510416577533e-58
"AT1G73480",681.901000525029,3.45515531830111,0.210786085109309,16.3917618969456,2.19003723269472e-60,1.1012322103564e-57
"AT4G27410",413.957453391328,3.84310927549105,0.235123321359671,16.3450790558211,4.71558991565915e-60,2.31728375355414e-57
"AT4G26080",1115.33654043612,3.05655351280265,0.187556424175524,16.2967145819659,1.04141672612651e-59,5.0038916560683e-57
"AT2G46680",449.081081587985,4.39640879354937,0.271999856858538,16.1632761293542,9.15635322541231e-59,4.30388411825793e-56
"AT2G38310",1366.53882062299,-3.94531368349757,0.24650507660268,-16.0049997260571,1.17913751491737e-57,5.42453432926455e-55
"AT5G14330",681.482632119406,-3.05263223803192,0.191359383819089,-15.9523519417155,2.74366520620532e-57,1.23590685601191e-54
"AT1G48100",385.862719771431,4.5791239298188,0.287567498700621,15.9236490580808,4.3429257975516e-57,1.91638248152369e-54
"AT1G79520",319.630664575684,3.49135268503052,0.219295881639128,15.9207398649459,4.54964999566615e-57,1.96745064412587e-54
"AT2G41870",274.914469436569,3.87639783978796,0.244307387776266,15.8668875103274,1.07438290637126e-56,4.55496219638418e-54
"AT3G01190",962.767590083439,-2.9932578839742,0.190115004777586,-15.7444589261957,7.49696104006959e-56,3.11729406939201e-53
"AT3G23920",425.048120150361,3.05561028703465,0.195068870776419,15.6642639846769,2.6548521176672e-55,1.08307948090944e-52
"AT4G26320",379.009158041511,-4.13573234806757,0.264413253736452,-15.6411688507482,3.81657796904853e-55,1.52818608975495e-52
"AT1G52890",272.88447069468,6.67405126244385,0.42752126728326,15.6110392001198,6.12314552495594e-55,2.40717550073814e-52
